[2025-05-05 21:02:36] [INFO    ] discord.client: logging in using static token
[2025-05-05 21:02:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'hooriya_bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1368258006055256165', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '5617', 'clan': None, 'bot': True, 'avatar': '8c440a50e2e7042e33b376694b5a92b2'}, 'session_type': 'normal', 'session_id': '1707014e270a262f26b744afa9c4cd10', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1368273698250952887'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'tel-aviv', 'bucharest', 'singapore'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1368258006055256165', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-b-0wcc",{"micros":78710,"calls":["id_created",{"micros":414,"calls":[]},"session_lookup_time",{"micros":387,"calls":[]},"session_lookup_finished",{"micros":23,"calls":[]},"discord-sessions-prd-2-124",{"micros":76346,"calls":["start_session",{"micros":71243,"calls":["discord-api-rpc-f59d9bdf7-vl878",{"micros":54483,"calls":["get_user",{"micros":8256},"get_guilds",{"micros":5551},"send_scheduled_deletion_message",{"micros":6},"guild_join_requests",{"micros":1},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":1303},"apex_user_experiments",{"micros":5},"user_activities",{"micros":1}]}]},"starting_guild_connect",{"micros":32,"calls":[]},"presence_started",{"micros":3181,"calls":[]},"guilds_started",{"micros":118,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":1751,"calls":[]},"connect_finished",{"micros":1755,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-05-05 21:02:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-05 21:02:39] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 1707014e270a262f26b744afa9c4cd10).
[2025-05-05 21:02:39] [DEBUG   ] discord.client: Dispatching event connect
[2025-05-05 21:02:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'max_stage_video_channel_users': 50, 'profile': None, 'default_message_notifications': 0, 'mfa_level': 0, 'vanity_url_code': None, 'stickers': [], 'afk_timeout': 300, 'public_updates_channel_id': None, 'presences': [], 'icon': None, 'lazy': True, 'system_channel_flags': 0, 'features': [], 'region': 'deprecated', 'inventory_settings': None, 'roles': [{'version': 1746292271022, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1368273698250952887', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1746308906016, 'unicode_emoji': None, 'tags': {'bot_id': '1368258006055256165'}, 'position': 2, 'permissions': '292326599744', 'name': 'hooriya_bot', 'mentionable': False, 'managed': True, 'id': '1368273907735335035', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1746308906471, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Mahnoor', 'mentionable': False, 'managed': False, 'id': '1368342811199668304', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}], 'members': [{'user': {'username': 'hooriya_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1368258006055256165', 'global_name': None, 'display_name': None, 'discriminator': '5617', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '8c440a50e2e7042e33b376694b5a92b2'}, 'roles': ['1368273907735335035'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-03T17:12:01.016000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'application_command_counts': {}, 'large': False, 'rules_channel_id': None, 'id': '1368273698250952887', 'discovery_splash': None, 'latest_onboarding_question_id': None, 'splash': None, 'stage_instances': [], 'voice_states': [], 'name': 'Hooriya server', 'preferred_locale': 'en-US', 'premium_subscription_count': 0, 'embedded_activities': [], 'channels': [{'version': 1746292271025, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1368273698250952888', 'flags': 0}, {'version': 1746292271034, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1368273698250952889', 'flags': 0}, {'version': 1746292271040, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1368273698250952888', 'name': 'general', 'last_message_id': '1368980442044174448', 'id': '1368273698250952890', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1746292271054, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1368273698250952889', 'name': 'General', 'last_message_id': None, 'id': '1368273698250952892', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'hub_type': None, 'afk_channel_id': None, 'threads': [], 'verification_level': 0, 'max_members': 500000, 'soundboard_sounds': [], 'incidents_data': None, 'premium_tier': 0, 'description': None, 'emojis': [], 'nsfw': False, 'safety_alerts_channel_id': None, 'nsfw_level': 0, 'system_channel_id': '1368273698250952890', 'moderator_reporting': None, 'activity_instances': [], 'guild_scheduled_events': [], 'member_count': 2, 'explicit_content_filter': 0, 'max_video_channel_users': 25, 'banner': None, 'premium_progress_bar_enabled': False, 'premium_features': None, 'home_header': None, 'version': 1746307560110, 'joined_at': '2025-05-03T17:12:01.016000+00:00', 'owner_id': '1216386395858534454', 'unavailable': False, 'application_id': None}}
[2025-05-05 21:02:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-05 21:02:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '7d2ae1c8d7355bcc7599d89ff69c3755', 'members': [{'user': {'username': 'hoor01332', 'public_flags': 0, 'primary_guild': None, 'id': '1216386395858534454', 'global_name': 'Hooriya M.fareed(Student Leader)', 'display_name': 'Hooriya M.fareed(Student Leader)', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '5445ffd7ffb201a98393cbdf684ea4b1'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-03T17:11:10.977000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'hooriya_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1368258006055256165', 'global_name': None, 'display_name': None, 'discriminator': '5617', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '8c440a50e2e7042e33b376694b5a92b2'}, 'roles': ['1368273907735335035'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-03T17:12:01.016000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1368273698250952887', 'chunk_index': 0, 'chunk_count': 1}}
[2025-05-05 21:02:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-05 21:02:39] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1368273698250952887.
[2025-05-05 21:02:41] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-05-05 21:02:41] [DEBUG   ] discord.client: Dispatching event ready
[2025-05-05 21:03:20] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-05 21:03:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-05 21:04:01] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-05 21:04:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-05 21:04:42] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-05 21:04:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-05 21:05:24] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-05 21:05:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-05 21:06:05] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-05 21:06:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-05 21:06:46] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-05 21:06:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-05 21:07:27] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-05 21:07:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-05 21:08:09] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-05 21:08:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-05 21:08:50] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-05 21:08:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-05 21:09:31] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-05 21:09:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-05 21:10:12] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-05 21:10:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-05 21:10:54] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-05 21:10:54] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-05 21:11:35] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-05 21:11:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-05 21:12:16] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-05 21:12:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
